dt,seed,a_target,median_abs_log10_err_raw,median_abs_log10_err_corr,mean_r_corr,stdev_r_corr,delta_rms,v_rms,runtime_s,steps_this_leg
5.000000e-05,42,0.02,1.471414e+01,3.544397e-02,1.034419e+00,1.142474e-01,1.029228e-04,3.875860e-08,29.876,0
5.000000e-05,42,0.05,7.703602e+00,7.013414e+00,7.279731e+07,1.276600e+08,1.542568e+00,1.233655e+00,29.876,1985
5.000000e-05,42,0.1,8.228105e+00,6.488911e+00,1.911009e+07,3.289106e+07,1.582292e+00,1.238274e+00,29.876,4853
5.000000e-05,137,0.02,1.472175e+01,1.468819e-02,9.662173e-01,8.450363e-02,1.007615e-04,3.577938e-08,29.871,0
5.000000e-05,137,0.05,7.670456e+00,7.046560e+00,5.992777e+07,9.674952e+07,1.431919e+00,1.388565e+00,29.871,1985
5.000000e-05,137,0.1,8.365210e+00,6.351806e+00,1.446780e+07,2.378083e+07,1.406968e+00,1.387747e+00,29.871,4853
5.000000e-05,271,0.02,1.468229e+01,5.546728e-02,1.036661e+00,2.072755e-01,1.039169e-04,3.576682e-08,29.992,0
5.000000e-05,271,0.05,7.728221e+00,6.988794e+00,6.630547e+07,1.179994e+08,1.478551e+00,1.183147e+00,29.992,1985
5.000000e-05,271,0.1,8.297342e+00,6.419673e+00,1.698492e+07,3.040244e+07,1.489896e+00,1.187086e+00,29.992,4853
1.000000e-04,42,0.02,1.471414e+01,3.544397e-02,1.034419e+00,1.142474e-01,1.029228e-04,3.875860e-08,14.982,0
1.000000e-04,42,0.05,8.294613e+00,6.422402e+00,1.830310e+07,3.852861e+07,8.573980e-01,1.308589e+00,14.982,993
1.000000e-04,42,0.1,8.934094e+00,5.782922e+00,4.338882e+06,9.105785e+06,8.440381e-01,1.306999e+00,14.982,2426
1.000000e-04,137,0.02,1.472175e+01,1.468819e-02,9.662173e-01,8.450363e-02,1.007615e-04,3.577938e-08,14.995,0
1.000000e-04,137,0.05,8.395852e+00,6.321164e+00,1.216065e+07,2.460463e+07,7.594008e-01,1.461319e+00,14.995,993
1.000000e-04,137,0.1,8.980668e+00,5.736347e+00,2.570697e+06,5.079699e+06,7.291111e-01,1.457990e+00,14.995,2426
1.000000e-04,271,0.02,1.468229e+01,5.546728e-02,1.036661e+00,2.072755e-01,1.039169e-04,3.576682e-08,14.934,0
1.000000e-04,271,0.05,8.252400e+00,6.464616e+00,2.115929e+07,4.438157e+07,9.010018e-01,1.170767e+00,14.934,993
1.000000e-04,271,0.1,8.898620e+00,5.818395e+00,4.757111e+06,1.005834e+07,8.696428e-01,1.167419e+00,14.934,2426
2.000000e-04,42,0.02,1.471414e+01,3.544397e-02,1.034419e+00,1.142474e-01,1.029228e-04,3.875860e-08,7.568,0
2.000000e-04,42,0.05,8.388405e+00,6.328610e+00,1.115861e+07,2.442820e+07,7.367573e-01,2.233249e+00,7.568,497
2.000000e-04,42,0.1,9.021419e+00,5.695596e+00,2.119529e+06,4.416092e+06,6.857192e-01,2.804217e+00,7.568,1213
2.000000e-04,137,0.02,1.472175e+01,1.468819e-02,9.662173e-01,8.450363e-02,1.007615e-04,3.577938e-08,7.618,0
2.000000e-04,137,0.05,8.397838e+00,6.319178e+00,9.848386e+06,2.126868e+07,7.090178e-01,1.298649e+00,7.618,497
2.000000e-04,137,0.1,9.096443e+00,5.620572e+00,2.177876e+06,4.618362e+06,6.909738e-01,1.382081e+00,7.618,1213
2.000000e-04,271,0.02,1.468229e+01,5.546728e-02,1.036661e+00,2.072755e-01,1.039169e-04,3.576682e-08,7.589,0
2.000000e-04,271,0.05,8.419828e+00,6.297188e+00,1.072601e+07,2.374766e+07,7.263889e-01,1.355820e+00,7.589,497
2.000000e-04,271,0.1,9.087537e+00,5.629478e+00,2.362267e+06,5.100696e+06,7.044180e-01,1.483078e+00,7.589,1213
4.000000e-04,42,0.02,1.471414e+01,3.544397e-02,1.034419e+00,1.142474e-01,1.029228e-04,3.875860e-08,4.433,0
4.000000e-04,42,0.05,8.510449e+00,6.206567e+00,3.830226e+06,5.959489e+06,5.965737e-01,2.655747e+00,4.433,249
4.000000e-04,42,0.1,9.079960e+00,5.637056e+00,6.163510e+05,6.344672e+05,5.691122e-01,3.807938e+00,4.433,606
4.000000e-04,137,0.02,1.472175e+01,1.468819e-02,9.662173e-01,8.450363e-02,1.007615e-04,3.577938e-08,3.856,0
4.000000e-04,137,0.05,8.477107e+00,6.239908e+00,2.771479e+06,3.308240e+06,5.715742e-01,1.654051e+00,3.856,249
4.000000e-04,137,0.1,9.087134e+00,5.629882e+00,4.898817e+05,3.172894e+05,5.554568e-01,1.996588e+00,3.856,606
4.000000e-04,271,0.02,1.468229e+01,5.546728e-02,1.036661e+00,2.072755e-01,1.039169e-04,3.576682e-08,3.818,0
4.000000e-04,271,0.05,8.495952e+00,6.221063e+00,2.026203e+06,1.447894e+06,5.625650e-01,1.429038e+00,3.818,249
4.000000e-04,271,0.1,9.115842e+00,5.601174e+00,4.114099e+05,2.026502e+05,5.510664e-01,1.565563e+00,3.818,606
