system,integrator,dt,err_metric,err_value,fitted_order
harmonic,leapfrog,0.025,dE_rel_max,0.0001304449611744,1.9995370257492922
harmonic,leapfrog,0.05,dE_rel_max,0.0005217564193843,1.9995370257492922
harmonic,leapfrog,0.1,dE_rel_max,0.0020865911079665,1.9995370257492922
harmonic,leapfrog,0.2,dE_rel_max,0.0083401308559883,1.9995370257492922
harmonic,yoshida4,0.025,dE_rel_max,2.4820194e-08,4.013410274444036
harmonic,yoshida4,0.05,dE_rel_max,3.976752537e-07,4.013410274444036
harmonic,yoshida4,0.1,dE_rel_max,6.3982449756e-06,4.013410274444036
harmonic,yoshida4,0.2,dE_rel_max,0.0001046688206792,4.013410274444036
kepler,leapfrog,0.0157079632679489,dE_rel_final,1.45e-14,7.66856466537447
kepler,leapfrog,0.0314159265358979,dE_rel_final,1.6348e-12,7.66856466537447
kepler,leapfrog,0.0628318530717958,dE_rel_final,4.222895e-10,7.66856466537447
kepler,leapfrog,0.1256637061435917,dE_rel_final,1.127749762e-07,7.66856466537447
kepler,leapfrog,0.0157079632679489,dL_rel_final,4.2e-15,-284.53021478353764
kepler,leapfrog,0.0314159265358979,dL_rel_final,1.3e-15,-284.53021478353764
kepler,leapfrog,0.0628318530717958,dL_rel_final,2.9e-15,-284.53021478353764
kepler,leapfrog,0.1256637061435917,dL_rel_final,0.0,-284.53021478353764
kepler,leapfrog,0.0157079632679489,closure,0.0051672211614031,1.9953645940004225
kepler,leapfrog,0.0314159265358979,closure,0.020662721801441,1.9953645940004225
kepler,leapfrog,0.0628318530717958,closure,0.0825365535218169,1.9953645940004225
kepler,leapfrog,0.1256637061435917,closure,0.3273302180845946,1.9953645940004225
kepler,yoshida4,0.0157079632679489,dE_rel_final,1.3e-15,3.752115962958209
kepler,yoshida4,0.0314159265358979,dE_rel_final,8e-16,3.752115962958209
kepler,yoshida4,0.0628318530717958,dE_rel_final,4.2e-15,3.752115962958209
kepler,yoshida4,0.1256637061435917,dE_rel_final,4.354e-12,3.752115962958209
kepler,yoshida4,0.0157079632679489,dL_rel_final,6e-16,0.8594359165703347
kepler,yoshida4,0.0314159265358979,dL_rel_final,4e-16,0.8594359165703347
kepler,yoshida4,0.0628318530717958,dL_rel_final,1.9e-15,0.8594359165703347
kepler,yoshida4,0.1256637061435917,dL_rel_final,2.6e-15,0.8594359165703347
kepler,yoshida4,0.0157079632679489,closure,3.5423982491e-06,4.001902508779075
kepler,yoshida4,0.0314159265358979,closure,5.66884410314e-05,4.001902508779075
kepler,yoshida4,0.0628318530717958,closure,0.000907678872761,4.001902508779075
kepler,yoshida4,0.1256637061435917,closure,0.0145700305725734,4.001902508779075
